Home Player Win,Home Player Country,Away Player Country,Date,Difference of Age:  Home Player,Difference Height: Home Player,Difference Weight: Home Player,Home Player Age,Home Player Height (Inches),Home Player Weight (Lbs),Away Player Age,Away Player Height (Inches),Away Player Weight (Lbs)
1,Switzerland,Spain,43050,-9,-3,-15,24,82,240,33,85,255
0,USA,USA,43050,-4,-2,-26,26,80,225,30,82,251
0,USA,USA,43050,-3,-1,-51,27,83,219,30,84,270
1,Spain,USA,43050,8,0,-25,38,84,250,30,84,275
1,Russia,Cameroon,43050,10,-1,20,34,83,270,24,84,250
0,USA,Montenegro,43050,6,-4,-14,33,80,246,27,84,260
0,USA,USA,43050,14,1,-8,36,85,240,22,84,248
1,USA,Russia,43050,-5,-3,-10,27,82,265,32,85,275
0,Dominican Republic,Lithuania,43051,6,-2,-20,32,82,245,26,84,265
1,USA,USA,43051,-4,-2,14,25,83,279,29,85,265
0,USA,Switzerland,43051,-2,1,10,22,83,250,24,82,240
1,USA,USA,43051,-3,4,30,23,84,255,26,80,225
1,Poland,USA,43052,9,-1,0,34,83,240,25,84,240
1,Latvia,USA,43052,-7,5,-11,23,87,240,30,82,251
0,USA,Spain,43052,-6,-2,-36,27,83,219,33,85,255
1,USA,USA,43052,-4,-2,8,25,82,253,29,84,245
0,USA,USA,43052,6,1,-30,36,85,240,30,84,270
1,USA,USA,43052,5,-2,17,27,82,265,22,84,248
1,Bosnia and Herzegovina,USA,43052,-9,4,29,24,84,275,33,80,246
0,Russia,Montenegro,43052,7,-1,10,34,83,270,27,84,260
0,USA,Cameroon,43052,6,-1,15,30,83,265,24,84,250
0,USA,Dominican Republic,43053,-2,-2,-17,30,80,228,32,82,245
1,Switzerland,Lithuania,43053,-2,-2,-25,24,82,240,26,84,265
0,USA,Spain,43053,-12,-4,-25,26,80,225,38,84,250
1,USA,USA,43054,4,0,5,29,84,245,25,84,240
0,USA,Poland,43054,-5,2,25,29,85,265,34,83,240
1,Latvia,USA,43054,-4,5,-25,23,87,240,27,82,265
1,USA,USA,43054,2,1,14,32,83,265,30,82,251
1,Spain,USA,43054,11,2,5,33,85,255,22,83,250
0,USA,USA,43054,2,0,-60,27,83,219,25,83,279
1,USA,Spain,43054,-16,0,-2,22,84,248,38,84,250
1,USA,Lithuania,43054,-1,-2,-12,25,82,253,26,84,265
0,USA,USA,43054,-7,0,-20,23,84,255,30,84,275
1,Bosnia and Herzegovina,Montenegro,43054,-3,0,15,24,84,275,27,84,260
0,USA,Cameroon,43054,6,0,20,30,84,270,24,84,250
1,USA,Switzerland,43055,4,1,25,28,83,265,24,82,240
0,USA,USA,43056,-3,0,-29,22,83,250,25,83,279
